episode,mean_V
0.000000000000000000e+00,3.640000000000000874e-03
1.000000000000000000e+00,4.963380000000000743e-03
2.000000000000000000e+00,4.051760940170940836e-03
3.000000000000000000e+00,3.643926206501685132e-03
4.000000000000000000e+00,4.030334573903371007e-03
5.000000000000000000e+00,4.799782882043612461e-03
6.000000000000000000e+00,2.920335689618453519e-03
7.000000000000000000e+00,3.570915950308381059e-03
8.000000000000000000e+00,2.708647198139088261e-03
9.000000000000000000e+00,1.373857121656249991e-03
1.000000000000000000e+01,1.150966546738212007e-03
1.100000000000000000e+01,1.230292206873446125e-03
1.200000000000000000e+01,1.141488184731798399e-03
1.300000000000000000e+01,4.483535731518834520e-04
1.400000000000000000e+01,4.808614898957776608e-04
1.500000000000000000e+01,1.047197338181672698e-03
1.600000000000000000e+01,4.937959517163838675e-04
1.700000000000000000e+01,6.197510771360691074e-04
1.800000000000000000e+01,6.477174842680908165e-04
1.900000000000000000e+01,2.324978972493378909e-04
2.000000000000000000e+01,-4.422640788391357875e-04
2.100000000000000000e+01,-1.514835528224196121e-03
2.200000000000000000e+01,-2.496274145436155022e-03
2.300000000000000000e+01,-3.077272307506191771e-03
2.400000000000000000e+01,-2.434990330938142499e-03
2.500000000000000000e+01,-3.028609545681841108e-03
2.600000000000000000e+01,-2.817365522987688373e-03
2.700000000000000000e+01,-2.781412227857479446e-03
2.800000000000000000e+01,-3.491908598917420597e-03
2.900000000000000000e+01,-4.076603194474624596e-03
3.000000000000000000e+01,-4.481365876856420981e-03
3.100000000000000000e+01,-4.850019110381204729e-03
3.200000000000000000e+01,-4.581265563539983939e-03
3.300000000000000000e+01,-5.276772810053291692e-03
3.400000000000000000e+01,-5.515695906092656781e-03
3.500000000000000000e+01,-6.514181620654990908e-03
3.600000000000000000e+01,-6.259225484188292964e-03
3.700000000000000000e+01,-7.053030755073532408e-03
3.800000000000000000e+01,-7.145785704000647692e-03
3.900000000000000000e+01,-7.683026455889746011e-03
4.000000000000000000e+01,-7.753670340724610685e-03
4.100000000000000000e+01,-7.954778499650578746e-03
4.200000000000000000e+01,-8.265723325740204769e-03
4.300000000000000000e+01,-8.878390998081731739e-03
4.400000000000000000e+01,-9.471838783710257934e-03
4.500000000000000000e+01,-9.696080865897648005e-03
4.600000000000000000e+01,-9.749415423508461798e-03
4.700000000000000000e+01,-1.002761713602632818e-02
4.800000000000000000e+01,-1.052867135832682294e-02
4.900000000000000000e+01,-1.102730598249249648e-02
5.000000000000000000e+01,-1.176968950543372770e-02
5.100000000000000000e+01,-1.213189893877695581e-02
5.200000000000000000e+01,-1.204022219544752768e-02
5.300000000000000000e+01,-1.250754063881518233e-02
5.400000000000000000e+01,-1.309264220148862942e-02
5.500000000000000000e+01,-1.309774279259768442e-02
5.600000000000000000e+01,-1.348080095140642178e-02
5.700000000000000000e+01,-1.355760044886202866e-02
5.800000000000000000e+01,-1.329292159749943976e-02
5.900000000000000000e+01,-1.368805832479675494e-02
6.000000000000000000e+01,-1.444082655837615817e-02
6.100000000000000000e+01,-1.438645115908420563e-02
6.200000000000000000e+01,-1.468908244523147756e-02
6.300000000000000000e+01,-1.485430872637601846e-02
6.400000000000000000e+01,-1.442422671794054909e-02
6.500000000000000000e+01,-1.463260598266348696e-02
6.600000000000000000e+01,-1.517501889325503089e-02
6.700000000000000000e+01,-1.487329417949270413e-02
6.800000000000000000e+01,-1.464288644392284025e-02
6.900000000000000000e+01,-1.476024140951491363e-02
7.000000000000000000e+01,-1.521546261429153162e-02
7.100000000000000000e+01,-1.542271943152261071e-02
7.200000000000000000e+01,-1.492618221291387021e-02
7.300000000000000000e+01,-1.508299705726831412e-02
7.400000000000000000e+01,-1.517646241962902071e-02
7.500000000000000000e+01,-1.501101352671234748e-02
7.600000000000000000e+01,-1.574701011223035227e-02
7.700000000000000000e+01,-1.630831251089140399e-02
7.800000000000000000e+01,-1.697815468169242004e-02
7.900000000000000000e+01,-1.736008878145754372e-02
8.000000000000000000e+01,-1.705613490525670004e-02
8.100000000000000000e+01,-1.736797151782649984e-02
8.200000000000000000e+01,-1.753194851567821053e-02
8.300000000000000000e+01,-1.794374408737042792e-02
8.400000000000000000e+01,-1.830224551062385047e-02
8.500000000000000000e+01,-1.829484915470028922e-02
8.600000000000000000e+01,-1.862019341352028068e-02
8.700000000000000000e+01,-1.898518506647433463e-02
8.800000000000000000e+01,-1.973676030129465839e-02
8.900000000000000000e+01,-2.000425986544279028e-02
9.000000000000000000e+01,-1.972608302859044441e-02
9.100000000000000000e+01,-2.043111995678252926e-02
9.200000000000000000e+01,-2.010095832657874879e-02
9.300000000000000000e+01,-2.056506372589047074e-02
9.400000000000000000e+01,-2.037577940225379636e-02
9.500000000000000000e+01,-2.071978283322390216e-02
9.600000000000000000e+01,-2.062731538928823730e-02
9.700000000000000000e+01,-2.045081793934143410e-02
9.800000000000000000e+01,-2.088879661456209333e-02
9.900000000000000000e+01,-2.143647086023128118e-02
1.000000000000000000e+02,-2.209844779909311482e-02
1.010000000000000000e+02,-2.234960310078407467e-02
1.020000000000000000e+02,-2.263595130782290396e-02
1.030000000000000000e+02,-2.170303181649987576e-02
1.040000000000000000e+02,-2.166175424492432222e-02
1.050000000000000000e+02,-2.211599406976907586e-02
1.060000000000000000e+02,-2.231422463550323046e-02
1.070000000000000000e+02,-2.246170367991105407e-02
1.080000000000000000e+02,-2.287414612962549929e-02
1.090000000000000000e+02,-2.317327637854029593e-02
1.100000000000000000e+02,-2.359804628042082991e-02
1.110000000000000000e+02,-2.425007846938050798e-02
1.120000000000000000e+02,-2.485437097055948757e-02
1.130000000000000000e+02,-2.507369966291529348e-02
1.140000000000000000e+02,-2.554802707679544246e-02
1.150000000000000000e+02,-2.587464971526919413e-02
1.160000000000000000e+02,-2.584971859175991954e-02
1.170000000000000000e+02,-2.622148895166291627e-02
1.180000000000000000e+02,-2.658766369301487562e-02
1.190000000000000000e+02,-2.673591234801842714e-02
1.200000000000000000e+02,-2.703119684470499037e-02
1.210000000000000000e+02,-2.780798697322857393e-02
1.220000000000000000e+02,-2.816799024373620522e-02
1.230000000000000000e+02,-2.833554506196644604e-02
1.240000000000000000e+02,-2.889444428342696769e-02
1.250000000000000000e+02,-2.916581333743670235e-02
1.260000000000000000e+02,-2.842705760632738277e-02
1.270000000000000000e+02,-2.861944265278491134e-02
1.280000000000000000e+02,-2.873430703872616523e-02
1.290000000000000000e+02,-2.932674169580505932e-02
1.300000000000000000e+02,-2.949120934416296982e-02
1.310000000000000000e+02,-3.021436864225873070e-02
1.320000000000000000e+02,-2.954054169432551377e-02
1.330000000000000000e+02,-2.978494366729482826e-02
1.340000000000000000e+02,-3.026116802906229572e-02
1.350000000000000000e+02,-3.077161001115133465e-02
1.360000000000000000e+02,-3.132794218449910795e-02
1.370000000000000000e+02,-3.159353696113060411e-02
1.380000000000000000e+02,-3.180245395706477601e-02
1.390000000000000000e+02,-3.200139337723088145e-02
1.400000000000000000e+02,-3.260962349375792768e-02
1.410000000000000000e+02,-3.305579214774671815e-02
1.420000000000000000e+02,-3.334654869538944411e-02
1.430000000000000000e+02,-3.331650283625204462e-02
1.440000000000000000e+02,-3.405189217815759312e-02
1.450000000000000000e+02,-3.457387985554556675e-02
1.460000000000000000e+02,-3.489272351940594930e-02
1.470000000000000000e+02,-3.465036037994050772e-02
1.480000000000000000e+02,-3.467709487445514577e-02
1.490000000000000000e+02,-3.517308847087600304e-02
1.500000000000000000e+02,-3.538842430618843737e-02
1.510000000000000000e+02,-3.573069730560984175e-02
1.520000000000000000e+02,-3.631241507018809211e-02
1.530000000000000000e+02,-3.635589806320133066e-02
