episode,mean_V
0.000000000000000000e+00,5.446083611111112235e-03
1.000000000000000000e+00,3.648606381790323733e-03
2.000000000000000000e+00,4.176841295577321013e-03
3.000000000000000000e+00,5.008083494035972701e-03
4.000000000000000000e+00,4.974233708620483252e-03
5.000000000000000000e+00,2.146115338059295490e-03
6.000000000000000000e+00,2.617321043460186982e-03
7.000000000000000000e+00,9.072470164183510767e-04
8.000000000000000000e+00,1.583854061185155458e-03
9.000000000000000000e+00,1.458616052766320700e-04
1.000000000000000000e+01,3.185644524666239770e-04
1.100000000000000000e+01,6.353948061666829245e-05
1.200000000000000000e+01,2.182355684731046900e-04
1.300000000000000000e+01,3.351866151470191102e-04
1.400000000000000000e+01,5.382668546128439521e-04
1.500000000000000000e+01,1.385247663231404950e-03
1.600000000000000000e+01,6.591316709674653737e-04
1.700000000000000000e+01,4.761840661807277206e-04
1.800000000000000000e+01,-9.635117286311624971e-05
1.900000000000000000e+01,-9.676659804984174152e-04
2.000000000000000000e+01,-1.741483795932805825e-03
2.100000000000000000e+01,-2.552798679324335719e-03
2.200000000000000000e+01,-3.375253519126986991e-03
2.300000000000000000e+01,-3.911136608990055386e-03
2.400000000000000000e+01,-4.276691207380290023e-03
2.500000000000000000e+01,-4.022107272188252432e-03
2.600000000000000000e+01,-4.377421143420466738e-03
2.700000000000000000e+01,-5.244188023004217776e-03
2.800000000000000000e+01,-5.608695545595477130e-03
2.900000000000000000e+01,-5.951106725521495590e-03
3.000000000000000000e+01,-6.763541855615116602e-03
3.100000000000000000e+01,-7.471101393405123539e-03
3.200000000000000000e+01,-7.889377751127782737e-03
3.300000000000000000e+01,-8.501564917035679680e-03
3.400000000000000000e+01,-8.334027156746345866e-03
3.500000000000000000e+01,-9.038361559270645385e-03
3.600000000000000000e+01,-9.820984609765921400e-03
3.700000000000000000e+01,-1.009316596292791565e-02
3.800000000000000000e+01,-1.034009391155756713e-02
3.900000000000000000e+01,-1.076575648539470666e-02
4.000000000000000000e+01,-1.003492646040116121e-02
4.100000000000000000e+01,-9.453050689383424646e-03
4.200000000000000000e+01,-1.011012565173650610e-02
4.300000000000000000e+01,-1.056670739899063724e-02
4.400000000000000000e+01,-9.996360820196883643e-03
4.500000000000000000e+01,-9.974877078805980887e-03
4.600000000000000000e+01,-9.821808993047851863e-03
4.700000000000000000e+01,-1.065207683093134794e-02
4.800000000000000000e+01,-1.085293239159760940e-02
4.900000000000000000e+01,-1.149319408901947406e-02
5.000000000000000000e+01,-1.102619584533780749e-02
5.100000000000000000e+01,-1.132774460039543893e-02
5.200000000000000000e+01,-1.165975617757846958e-02
5.300000000000000000e+01,-1.216650213189551105e-02
5.400000000000000000e+01,-1.183217732746068285e-02
5.500000000000000000e+01,-1.204449728812694194e-02
5.600000000000000000e+01,-1.223261173533712540e-02
5.700000000000000000e+01,-1.186071718687212000e-02
5.800000000000000000e+01,-1.242289188509190616e-02
5.900000000000000000e+01,-1.273614563448361055e-02
6.000000000000000000e+01,-1.314499075868319142e-02
6.100000000000000000e+01,-1.320751036772171635e-02
6.200000000000000000e+01,-1.355204153776167798e-02
6.300000000000000000e+01,-1.391558863851327307e-02
6.400000000000000000e+01,-1.458384982436289855e-02
6.500000000000000000e+01,-1.498993319754357047e-02
6.600000000000000000e+01,-1.525463947619610031e-02
6.700000000000000000e+01,-1.591030919146004668e-02
6.800000000000000000e+01,-1.599480935395858339e-02
6.900000000000000000e+01,-1.645222356815949707e-02
7.000000000000000000e+01,-1.661970302791365359e-02
7.100000000000000000e+01,-1.690299394489489654e-02
7.200000000000000000e+01,-1.589251009193875727e-02
7.300000000000000000e+01,-1.644004724155499059e-02
7.400000000000000000e+01,-1.679646177154828571e-02
7.500000000000000000e+01,-1.730019237746113075e-02
7.600000000000000000e+01,-1.716379728647385652e-02
