episode,mean_V
0.000000000000000000e+00,6.232325581395348896e-03
1.000000000000000000e+00,5.839271604938273130e-03
2.000000000000000000e+00,5.236228990099011348e-03
3.000000000000000000e+00,3.641340432432433466e-03
4.000000000000000000e+00,2.815954529944523013e-03
5.000000000000000000e+00,1.354130115117908309e-03
6.000000000000000000e+00,1.355180927813847769e-03
7.000000000000000000e+00,9.223385510642511742e-04
8.000000000000000000e+00,1.420138785330299965e-03
9.000000000000000000e+00,4.936864134462759296e-04
1.000000000000000000e+01,5.154269432436112911e-04
1.100000000000000000e+01,4.891018066445187908e-04
1.200000000000000000e+01,1.397628085669462127e-03
1.300000000000000000e+01,1.120109139688854009e-03
1.400000000000000000e+01,2.230393614717324192e-05
1.500000000000000000e+01,-1.541241619321477834e-03
1.600000000000000000e+01,-2.526068761884709638e-03
1.700000000000000000e+01,-3.207181741361212358e-03
1.800000000000000000e+01,-2.763363615962844549e-03
1.900000000000000000e+01,-3.093945497932037905e-03
2.000000000000000000e+01,-2.273746940780008684e-03
2.100000000000000000e+01,-3.289655590866065547e-03
2.200000000000000000e+01,-2.872172655382880437e-03
2.300000000000000000e+01,-2.269652207719442382e-03
2.400000000000000000e+01,-2.860685865269987568e-03
2.500000000000000000e+01,-2.716362814133296312e-03
2.600000000000000000e+01,-3.028637661608112736e-03
2.700000000000000000e+01,-3.592642150264952015e-03
2.800000000000000000e+01,-4.529606348548706647e-03
2.900000000000000000e+01,-5.053595021005356444e-03
3.000000000000000000e+01,-5.617866933272444574e-03
3.100000000000000000e+01,-6.138455790946685010e-03
3.200000000000000000e+01,-6.579136797394636617e-03
3.300000000000000000e+01,-6.492140988831247329e-03
3.400000000000000000e+01,-6.235300427833590647e-03
3.500000000000000000e+01,-6.405945280845647648e-03
3.600000000000000000e+01,-6.980577559952113285e-03
3.700000000000000000e+01,-7.165917157735955320e-03
3.800000000000000000e+01,-8.007950482423633817e-03
3.900000000000000000e+01,-8.544118766518433647e-03
4.000000000000000000e+01,-1.004478675936589308e-02
4.100000000000000000e+01,-1.031626636372081143e-02
4.200000000000000000e+01,-1.109789145380339452e-02
4.300000000000000000e+01,-1.134071009174855704e-02
4.400000000000000000e+01,-1.221542328225056623e-02
4.500000000000000000e+01,-1.261263658308464479e-02
4.600000000000000000e+01,-1.300108531769055518e-02
4.700000000000000000e+01,-1.359597296928005163e-02
4.800000000000000000e+01,-1.424286428790978720e-02
4.900000000000000000e+01,-1.398409285649965077e-02
5.000000000000000000e+01,-1.501717684514189410e-02
5.100000000000000000e+01,-1.468992369739036304e-02
5.200000000000000000e+01,-1.478424236311053248e-02
5.300000000000000000e+01,-1.553914237847649031e-02
5.400000000000000000e+01,-1.607738358445446117e-02
5.500000000000000000e+01,-1.670466722437745355e-02
5.600000000000000000e+01,-1.704211643844648696e-02
5.700000000000000000e+01,-1.679689981280442848e-02
5.800000000000000000e+01,-1.745874656195227012e-02
5.900000000000000000e+01,-1.831071218146510665e-02
6.000000000000000000e+01,-1.926205043449999085e-02
6.100000000000000000e+01,-1.953249156824153968e-02
6.200000000000000000e+01,-2.023533481151686131e-02
6.300000000000000000e+01,-2.061987342912965926e-02
6.400000000000000000e+01,-2.158618073750330491e-02
6.500000000000000000e+01,-2.248059191379811472e-02
6.600000000000000000e+01,-2.263672894309563810e-02
6.700000000000000000e+01,-2.384448786449509111e-02
6.800000000000000000e+01,-2.418837481197535708e-02
6.900000000000000000e+01,-2.488254484970173555e-02
7.000000000000000000e+01,-2.571611519201297269e-02
7.100000000000000000e+01,-2.595964971189634526e-02
7.200000000000000000e+01,-2.655077222030368181e-02
7.300000000000000000e+01,-2.732982440407234065e-02
7.400000000000000000e+01,-2.797719657069283258e-02
7.500000000000000000e+01,-2.856873990413356240e-02
7.600000000000000000e+01,-2.828790874340533085e-02
7.700000000000000000e+01,-2.864002693930985111e-02
7.800000000000000000e+01,-2.903953402498827066e-02
7.900000000000000000e+01,-2.955932056407103992e-02
8.000000000000000000e+01,-3.017289450702496587e-02
8.100000000000000000e+01,-3.047713118140748731e-02
8.200000000000000000e+01,-3.079494999164549690e-02
8.300000000000000000e+01,-3.143178926787709021e-02
8.400000000000000000e+01,-3.167593108246852945e-02
8.500000000000000000e+01,-3.131145464111200621e-02
8.600000000000000000e+01,-3.191427914233388452e-02
8.700000000000000000e+01,-3.118971641916614551e-02
8.800000000000000000e+01,-3.150743561522438563e-02
8.900000000000000000e+01,-3.205966882779912736e-02
9.000000000000000000e+01,-3.215554319372266462e-02
9.100000000000000000e+01,-3.278367932814816449e-02
9.200000000000000000e+01,-3.328946719752792771e-02
9.300000000000000000e+01,-3.403658751839511859e-02
9.400000000000000000e+01,-3.422493881130634491e-02
9.500000000000000000e+01,-3.404700155971469161e-02
9.600000000000000000e+01,-3.427054074006462975e-02
9.700000000000000000e+01,-3.437611417034253797e-02
9.800000000000000000e+01,-3.518066381607787285e-02
9.900000000000000000e+01,-3.537887141470359709e-02
1.000000000000000000e+02,-3.561606266133181264e-02
1.010000000000000000e+02,-3.618653508087792126e-02
1.020000000000000000e+02,-3.667386159292076314e-02
1.030000000000000000e+02,-3.650923138296328224e-02
1.040000000000000000e+02,-3.736141702805814702e-02
1.050000000000000000e+02,-3.806887707853955777e-02
1.060000000000000000e+02,-3.836332841425873358e-02
1.070000000000000000e+02,-3.834832437084120110e-02
1.080000000000000000e+02,-3.881998575087246273e-02
1.090000000000000000e+02,-3.947469360912773256e-02
1.100000000000000000e+02,-4.015573405005857383e-02
1.110000000000000000e+02,-4.074701675278957769e-02
1.120000000000000000e+02,-4.171628908115450340e-02
1.130000000000000000e+02,-4.219009321093104836e-02
1.140000000000000000e+02,-4.113929847313489013e-02
1.150000000000000000e+02,-4.150772937053735789e-02
1.160000000000000000e+02,-4.189151577646335611e-02
1.170000000000000000e+02,-4.242723099135878306e-02
1.180000000000000000e+02,-4.273711974213931231e-02
1.190000000000000000e+02,-4.370813282947836470e-02
1.200000000000000000e+02,-4.297844752526016471e-02
