episode,mean_V
0.000000000000000000e+00,-7.486581971460776197e-01
1.000000000000000000e+00,-8.311728180346861228e-01
2.000000000000000000e+00,-1.222470347308164840e+00
3.000000000000000000e+00,-1.207497771985436730e+00
4.000000000000000000e+00,-1.337457263032833854e+00
5.000000000000000000e+00,-1.403287366176469320e+00
6.000000000000000000e+00,-1.590953222874080808e+00
7.000000000000000000e+00,-1.831769626391837935e+00
8.000000000000000000e+00,-1.982478916715797679e+00
9.000000000000000000e+00,-2.153871121386718102e+00
1.000000000000000000e+01,-2.216483829579507958e+00
1.100000000000000000e+01,-2.325548438171449739e+00
1.200000000000000000e+01,-2.485651008051043220e+00
1.300000000000000000e+01,-2.371233058622070899e+00
1.400000000000000000e+01,-2.356364057845585780e+00
1.500000000000000000e+01,-2.420201910941639056e+00
1.600000000000000000e+01,-2.425895605116589415e+00
1.700000000000000000e+01,-2.344609211301003526e+00
1.800000000000000000e+01,-2.438777481277998760e+00
1.900000000000000000e+01,-2.452672050868224485e+00
2.000000000000000000e+01,-2.566378646286005871e+00
2.100000000000000000e+01,-2.557393067091037864e+00
2.200000000000000000e+01,-2.608215909648721187e+00
2.300000000000000000e+01,-2.594306286890649904e+00
2.400000000000000000e+01,-2.672296592958756101e+00
2.500000000000000000e+01,-2.638732981198122385e+00
2.600000000000000000e+01,-2.656352791010215597e+00
2.700000000000000000e+01,-2.662050763318956292e+00
2.800000000000000000e+01,-2.628445643820543687e+00
2.900000000000000000e+01,-2.658363103844786135e+00
3.000000000000000000e+01,-2.637833359892387541e+00
3.100000000000000000e+01,-2.630286566404397952e+00
3.200000000000000000e+01,-2.652191903351084790e+00
3.300000000000000000e+01,-2.681937352300019839e+00
3.400000000000000000e+01,-2.694550677494056856e+00
3.500000000000000000e+01,-2.718505694813908136e+00
3.600000000000000000e+01,-2.667106935228218845e+00
3.700000000000000000e+01,-2.659937280579257823e+00
3.800000000000000000e+01,-2.735663378839439996e+00
3.900000000000000000e+01,-2.758858159397226562e+00
4.000000000000000000e+01,-2.758878014222761355e+00
4.100000000000000000e+01,-2.799937227372239601e+00
4.200000000000000000e+01,-2.825433430836436166e+00
4.300000000000000000e+01,-2.823924360179493664e+00
4.400000000000000000e+01,-2.833881739927214927e+00
4.500000000000000000e+01,-2.868804042504767171e+00
4.600000000000000000e+01,-2.869575210918398511e+00
4.700000000000000000e+01,-2.866390675150191303e+00
4.800000000000000000e+01,-2.892098772328865586e+00
4.900000000000000000e+01,-2.927849510260612131e+00
5.000000000000000000e+01,-3.011345769527106864e+00
5.100000000000000000e+01,-3.013237795428432175e+00
5.200000000000000000e+01,-3.036048149809845498e+00
5.300000000000000000e+01,-3.041473597673060247e+00
5.400000000000000000e+01,-2.990554210121222578e+00
5.500000000000000000e+01,-3.012236018721782038e+00
5.600000000000000000e+01,-2.966183859049282834e+00
5.700000000000000000e+01,-2.958721417049055002e+00
5.800000000000000000e+01,-2.961042656589111921e+00
5.900000000000000000e+01,-2.962049875772037044e+00
6.000000000000000000e+01,-2.957304933889633336e+00
6.100000000000000000e+01,-2.959242873444384081e+00
6.200000000000000000e+01,-2.984821569294103139e+00
6.300000000000000000e+01,-3.003823932772819560e+00
6.400000000000000000e+01,-2.941898968098008993e+00
6.500000000000000000e+01,-2.942404860993093063e+00
6.600000000000000000e+01,-2.984623980731688331e+00
6.700000000000000000e+01,-2.982935705391654757e+00
6.800000000000000000e+01,-2.983713431440310870e+00
6.900000000000000000e+01,-2.991119841268757629e+00
7.000000000000000000e+01,-2.991953792929175737e+00
7.100000000000000000e+01,-3.009862172919491652e+00
7.200000000000000000e+01,-3.010514274677953850e+00
7.300000000000000000e+01,-3.014625257932701530e+00
7.400000000000000000e+01,-2.958340275678225773e+00
7.500000000000000000e+01,-2.958633242565261945e+00
7.600000000000000000e+01,-2.974879130084250090e+00
7.700000000000000000e+01,-2.986576324258452875e+00
