episode,mean_V
0.000000000000000000e+00,-1.094445316000408841e+00
1.000000000000000000e+00,-1.573223756429792619e+00
2.000000000000000000e+00,-1.285818060959562859e+00
3.000000000000000000e+00,-1.350779424015761121e+00
4.000000000000000000e+00,-1.533927725681077048e+00
5.000000000000000000e+00,-1.542964774968635489e+00
6.000000000000000000e+00,-1.703875307363217351e+00
7.000000000000000000e+00,-1.514311835623668223e+00
8.000000000000000000e+00,-1.926270126559553875e+00
9.000000000000000000e+00,-1.919717953574860969e+00
1.000000000000000000e+01,-2.066043267200789124e+00
1.100000000000000000e+01,-2.079943950513326367e+00
1.200000000000000000e+01,-2.021229377449020870e+00
1.300000000000000000e+01,-2.212480150851334315e+00
1.400000000000000000e+01,-2.314863537831460150e+00
1.500000000000000000e+01,-2.320337901068347364e+00
1.600000000000000000e+01,-2.280760383516994061e+00
1.700000000000000000e+01,-2.301290279508864778e+00
1.800000000000000000e+01,-2.373017799724949306e+00
1.900000000000000000e+01,-2.454391494465902213e+00
2.000000000000000000e+01,-2.467530615930087379e+00
2.100000000000000000e+01,-2.433179355750636930e+00
2.200000000000000000e+01,-2.442572058069730101e+00
2.300000000000000000e+01,-2.568503960809271458e+00
2.400000000000000000e+01,-2.644863897889047966e+00
2.500000000000000000e+01,-2.651426734239287430e+00
2.600000000000000000e+01,-2.703543543832317653e+00
2.700000000000000000e+01,-2.690155283398479202e+00
2.800000000000000000e+01,-2.757806667907057196e+00
2.900000000000000000e+01,-2.815392137357322522e+00
3.000000000000000000e+01,-2.739252445948435977e+00
3.100000000000000000e+01,-2.774176301822323776e+00
3.200000000000000000e+01,-2.850586357096151602e+00
3.300000000000000000e+01,-2.844049672886808544e+00
3.400000000000000000e+01,-2.811056043120342629e+00
3.500000000000000000e+01,-2.758099972380204878e+00
3.600000000000000000e+01,-2.776486280972754628e+00
3.700000000000000000e+01,-2.769768381140898406e+00
3.800000000000000000e+01,-2.792062784107439910e+00
3.900000000000000000e+01,-2.808386096238071783e+00
4.000000000000000000e+01,-2.823945433879832656e+00
4.100000000000000000e+01,-2.811811997382444250e+00
4.200000000000000000e+01,-2.815970002738914513e+00
4.300000000000000000e+01,-2.844556740393474392e+00
4.400000000000000000e+01,-2.856840185903104956e+00
4.500000000000000000e+01,-2.897840678501881317e+00
4.600000000000000000e+01,-2.885613499537241111e+00
4.700000000000000000e+01,-2.887752224838115556e+00
4.800000000000000000e+01,-2.920057723297217134e+00
4.900000000000000000e+01,-2.930817648909290529e+00
5.000000000000000000e+01,-2.937945416630280082e+00
5.100000000000000000e+01,-2.948888615645511191e+00
5.200000000000000000e+01,-2.952338197638234796e+00
5.300000000000000000e+01,-3.005914315042197860e+00
5.400000000000000000e+01,-3.015050527943743397e+00
5.500000000000000000e+01,-3.019625703447050391e+00
5.600000000000000000e+01,-3.012396233255708822e+00
5.700000000000000000e+01,-3.033935101434364956e+00
5.800000000000000000e+01,-3.081555613937106752e+00
5.900000000000000000e+01,-3.060131935511441359e+00
6.000000000000000000e+01,-3.071123832166358092e+00
6.100000000000000000e+01,-3.079794782157205368e+00
6.200000000000000000e+01,-3.090522542396047179e+00
6.300000000000000000e+01,-3.090649307424536030e+00
6.400000000000000000e+01,-2.967907644854224536e+00
6.500000000000000000e+01,-2.952234082065982257e+00
6.600000000000000000e+01,-2.952693350526140126e+00
6.700000000000000000e+01,-2.987361761644719671e+00
6.800000000000000000e+01,-2.957415449517616146e+00
6.900000000000000000e+01,-2.892953352745094797e+00
7.000000000000000000e+01,-2.932561365732361036e+00
7.100000000000000000e+01,-2.946369304612870721e+00
7.200000000000000000e+01,-2.990789859536263418e+00
7.300000000000000000e+01,-3.005504502516390009e+00
7.400000000000000000e+01,-3.006550396538057779e+00
7.500000000000000000e+01,-3.002079467388744760e+00
7.600000000000000000e+01,-3.022205834148638637e+00
7.700000000000000000e+01,-3.011576267952245978e+00
7.800000000000000000e+01,-3.021750605265464795e+00
7.900000000000000000e+01,-3.032532513412607766e+00
8.000000000000000000e+01,-3.061611642039170356e+00
8.100000000000000000e+01,-3.071745063771196715e+00
8.200000000000000000e+01,-3.051431743542616815e+00
8.300000000000000000e+01,-3.079091400263001432e+00
8.400000000000000000e+01,-3.096920545627032784e+00
8.500000000000000000e+01,-3.112786142808866341e+00
8.600000000000000000e+01,-3.113354047407918657e+00
